id,city,states_id
306,Bethel,6
307,Sun Valley/Hailey/Ketchum,20
308,CONCORD,12
309,Moab,29
310,Worcester,9
311,Texarkana,39
312,Hibbing,31
313,Yuma,14
314,Christiansted,41
315,Muskegon,22
316,Eau Claire,35
317,Newburgh/Poughkeepsie,4
318,Ithaca/Cortland,4
319,Hattiesburg/Laurel,34
320,Albany,23
321,Cheyenne,47
322,Hobbs,32
323,Fort Smith,39
324,Hyannis,9
325,Longview,11
326,Lewiston,20
327,Butte,42
328,Latrobe,13
329,Pueblo,10
330,Petersburg,6
331,Walla Walla,3
332,Binghamton,4
333,Niagara Falls,4
334,Cape Girardeau,30
335,Escanaba,22
336,Ponce,37
337,Garden City,45
338,Liberal,45
339,Lynchburg,15
340,Meridian,34
341,Grand Island,36
342,Fort Dodge,40
343,Bemidji,31
344,Hagerstown,18
345,Brainerd,31
346,Sheridan,47
347,Alamosa,10
348,Quincy,8
349,Branson,30
350,Paducah,49
351,Wenatchee,3
352,Johnstown,13
353,Iron Mountain/Kingsfd,22
354,Gustavus,6
355,Waterloo,40
356,Stockton,5
357,New Haven,26
358,Santa Maria,5
359,Del Rio,11
360,Dodge City,45
